og_representation,mapping
number,no
bloc no,block no
block no,block no
block number,block no
blok no,block no
blok no,block no
bailding no,wing no
biding no,wing no
bilding no,wing no
billding no,wing no
biulding no,wing no
bldg no,wing no
blding no,wing no
bldng no,wing no
budilgind no,wing no
bui.ding no,wing no
buiding no,wing no
buidlding no,wing no
buidlig no,wing no
buidling no,wing no
buiiding no,wing no
buiilding no,wing no
build no,wing no
buildeing no,wing no
buildg no,wing no
buildig no,wing no
buildig no,wing no
buildign no,wing no
buildiing no,wing no
buildilding no,wing no
buildin no,wing no
buildind no,wing no
buildinf no,wing no
building,wing no
building,wing no
building no,wing no
building no,wing no
building no,wing no
building no,wing no
building number,wing no
building- no,wing no
buildingh no,wing no
buildingin no,wing no
buildinh no,wing no
buildinhg no,wing no
buildinig no,wing no
buildlding no,wing no
buildling no,wing no
buildng no,wing no
buildnig no,wing no
buildoing no,wing no
buildong no,wing no
builduing no,wing no
buildung no,wing no
buileing no,wing no
builging no,wing no
builidign no,wing no
builiding no,wing no
builidng no,wing no
builing no,wing no
buillding no,wing no
builsing no,wing no
buindling no,wing no
buiulding no,wing no
bulding no,wing no
buliding no,wing no
bulidng no,wing no
bulinding no,wing no
buling no,wing no
buuilding no,wing no
byilding no,wing no
ebuilding no,wing no
ilding no,wing no
joybuilding no,wing no
mbuilding no,wing no
nuilding no,wing no
parkbuilding no,wing no
uilding no,wing no
case no,case no
hcs no,chs no
clster no,cluster no
clustor no,cluster no
aflat no,flat no
apart no,flat no
apart number,flat no
aprt no,flat no
aprt number,flat no
apt no,flat no
apt no,flat no
apt number,flat no
falt no,flat no
fat no,flat no
fiat no,flat no
fl no,flat no
fla no,flat no
flano no,flat no
flar no,flat no
flat bearing,flat no
flat having,flat no
flat n,flat no
flat niwasi,flat no
flat no,flat no
flat no,flat no
flat no,flat no
flat nob,flat no
flat nol,flat no
flat non,flat no
flat nos,flat no
flat number,flat no
flat on,flat no
flat original,flat no
flat unit,flat no
flats no,flat no
flay no,flat no
fllat no,flat no
float no,flat no
flst no,flat no
flt no,flat no
flta no,flat no
ft no,flat no
ft. no,flat no
ftat no,flat no
lat no,flat no
flooor,floor no
floor no,floor no
floorflat no,floor no
floot no,floor no
flr no,floor no
gala no,gala no
gala no,gala no
gala no,gala no
gala no,gala no
glr no,gala no
gali no,gali no
galli no,gali no
garage no,garage no
garrage no,garage no
gardan no,garden no
garden no,garden no
ghar no,ghar no
gharank no,ghar no
gharkul no,ghar no
hose no,ghar no
houses no,ghar no
banglo no,house no
bunglo no,house no
bunglow no,house no
bunlow no,house no
vila no,house no
vill no,house no
villa no,house no
layout no,layout no
leyout no,layout no
ilkat no,milkat no
kate no,milkat no
mikat no,milkat no
mil no,milkat no
milakat,milkat no
milakat no,milkat no
milakat number,milkat no
milakt no,milkat no
milkar no,milkat no
milkart no,milkat no
milkat no,milkat no
milkat no,milkat no
milkat no,milkat no
milkat number,milkat no
milkhat no,milkat no
milkit no,milkat no
muilkat no,milkat no
mulakat no,milkat no
nmilkat no,milkat no
itoffice no,office no
ofc no,office no
off no,office no
offc no,office no
offce no,office no
offfice no,office no
offi no,office no
offic no,office no
office no,office no
office no,office no
office nos,office no
office number,office no
ofiice no,office no
ooffice no,office no
opffice no,office no
pffice no,office no
fase no,phase no
paras no,phase no
parts no,phase no
ph no,phase no
phase no,phase no
phase no,phase no
phaze no,phase no
pheje no,phase no
phese no,phase no
phyes no,phase no
eplot no,plot no
lot no,plot no
lpot no,plot no
pet no,plot no
phot no,plot no
piot no,plot no
pkot no,plot no
pl no,plot no
plat no,plot no
plat number,plot no
plit no,plot no
plo no,plot no
ploat no,plot no
plolt no,plot no
ploot no,plot no
plot no,plot no
plot nos,plot no
plot number,plot no
plots no,plot no
plt no,plot no
plto no,plot no
polt no,plot no
pot no,plot no
pro no,plot no
slot no,plot no
splot no,plot no
sub-plot no,plot no
subplot no,plot no
project no,project no
propert no,property no
properth no,property no
property no,property no
scem no,scheme no
schime no,scheme no
sctor no,sector no
sec no,sector no
secotr no,sector no
sectar no,sector no
secter no,sector no
sectoe no,sector no
sector no,sector no
sector number,sector no
sectore no,sector no
ser no,sector no
sereno no,sector no
setor no,sector no
shed no,shed no
grahak no,shop no
ho no,shop no
hop no,shop no
hsgshop no,shop no
shop no,shop no
sch no,shop no
sh no,shop no
shit no,shop no
sho no,shop no
shop no,shop no
shop no,shop no
shop no,shop no
shop no,shop no
shop no,shop no
shop no,shop no
shop nos,shop no
shop number,shop no
shop-unit,shop no
shopa no,shop no
shops no,shop no
shp no,shop no
shpo no,shop no
sop no,shop no
spa no,shop no
site no,site no
soc no,society no
society no,society no
society- no,society no
socity no,society no
stop no,stop no
storage no,storage no
stor no,store no
store no,store no
c no,survey no
c.s no,survey no
c.s.t no,survey no
c.t.s no,survey no
c.t.s nos,survey no
cs no,survey no
csr no,survey no
cst no,survey no
ctc no,survey no
cts no,survey no
cts nos,survey no
ctsa no,survey no
d hissa,survey no
g no,survey no
gat no,survey no
gat no,survey no
gat no,survey no
gat nos,survey no
gat/s no,survey no
gate no,survey no
gattt no,survey no
glat no,survey no
gst no,survey no
gt no,survey no
gta no,survey no
gut no,survey no
hi no,survey no
hiaa no,survey no
hiasa no,survey no
hiesa no,survey no
hiis no,survey no
hiisa no,survey no
hiissa no,survey no
his no,survey no
hisa no,survey no
hisaa no,survey no
hiss no,survey no
hissa n,survey no
hissa na,survey no
hissa nm,survey no
hissa no,survey no
hissa no,survey no
hissa noi,survey no
hissa nos,survey no
hissa number,survey no
hissa plot,survey no
hissa sub,survey no
hissaa no,survey no
hissan no,survey no
hissna no,survey no
hisssa no,survey no
hs no,survey no
hssa no,survey no
issa no,survey no
newgat no,survey no
nhissa no,survey no
oldgat no,survey no
sa no,survey no
sarve no,survey no
sarvey no,survey no
sarvhe no,survey no
saurvey no,survey no
serve no,survey no
servey no,survey no
servy no,survey no
shissa no,survey no
sirvey no,survey no
srevey no,survey no
srv no,survey no
ssa no,survey no
suerve no,survey no
suervey no,survey no
suevey no,survey no
sur no,survey no
surbey number,survey no
surevey no,survey no
surey no,survey no
surv no,survey no
survay no,survey no
survayr no,survey no
surve no,survey no
surve number,survey no
survel no,survey no
surver no,survey no
survery no,survey no
survery number,survey no
survet no,survey no
survey no,survey no
survey nos,survey no
survey number,survey no
survry no,survey no
survy no,survey no
survye no,survey no
sury no,survey no
suryet no,survey no
susrvey no,survey no
suve no,survey no
suvery no,survey no
svy no,survey no
urvey no,survey no
vts no,survey no
yhissa no,survey no
tns no,tns no
tour no,tower no
towar no,tower no
tower no,tower no
tower no,tower no
tower no,tower no
tower no,tower no
towr no,tower no
tower -,tower no
tps no,tps no
unit no,flat no
iwng no,wing no
wig no,wing no
wigh no,wing no
wign no,wing no
wiing no,wing no
wind no,wing no
winf no,wing no
wing- no,wing no
wingh no,wing no
wng no,wing no
wnig no,wing no
wong no,wing no
01St floor,floor no 1
1Sr floor,floor no 1
1St,floor no 1
B-1St floor,floor no 1
F floor,floor no 1
First floor,floor no 1
Fist floor,floor no 1
Frist floor,floor no 1
Ground1St floor,floor no 1
I floor,floor no 1
One floor,floor no 1
pahila,floor no 1
First floor,floor no 1
Ten floor,floor no 10
Tenth floor,floor no 10
tenth floor,floor no 10
10Rh floor,floor no 10
10Th floor,floor no 10
btenth floor,floor no 10
daahva floor,floor no 10
dtenth floor,floor no 10
11Th floor,floor no 11
akarava floor,floor no 11
Eleventh floor,floor no 11
eleventh floor,floor no 11
feleventh floor,floor no 11
12Th floor,floor no 12
Twelfth floor,floor no 12
twelfth floor,floor no 12
Twelth floor,floor no 12
twelth floor,floor no 12
Twelve floor,floor no 12
Twelveth floor,floor no 12
terva floor,floor no 13
13Th floor,floor no 13
thirteen floor,floor no 13
Thirteenth floor,floor no 13
xiii floor,floor no 13
14Th floor,floor no 14
1St floor,floor no 14
cfortinth floor,floor no 14
Forteen floor,floor no 14
Fourteen floor,floor no 14
fourteen floor,floor no 14
15Th floor,floor no 15
Fifteenth floor,floor no 15
fifteenth floor,floor no 15
fiftinth floor,floor no 15
Sixteen floor,floor no 16
sixteen floor,floor no 16
Sixteenth floor,floor no 16
sixteenth floor,floor no 16
16Th floor,floor no 16
sikstinth floor,floor no 16
17Th floor,floor no 17
Seventeen floor,floor no 17
Seventeenth floor,floor no 17
seventeenth floor,floor no 17
18Tg floor,floor no 18
18Th floor,floor no 18
eighteen floor,floor no 18
Eighteenth floor,floor no 18
eighteenth floor,floor no 18
19Th floor,floor no 19
aekonisava floor,floor no 19
eknisa floor,floor no 19
eknisava floor,floor no 19
ekonisava floor,floor no 19
ekonvis floor,floor no 19
ekonvisva floor,floor no 19
02Nd floor,floor no 2
2N floor,floor no 2
2Nd floor,floor no 2
2Rd floor,floor no 2
2Th floor,floor no 2
And2Nd floor,floor no 2
Bul2Nd floor,floor no 2
Fst floor,floor no 2
Ii floor,floor no 2
Second floor,floor no 2
second floor,floor no 2
Seconf floor,floor no 2
Secound floor,floor no 2
Two floor,floor no 2
2Nd\/3Rd floor,"floor no 2,3"
20Th floor,floor no 20
twenty floor,floor no 20
visava floor,floor no 20
21St floor,floor no 21
21Th floor,floor no 21
ekvishawa floor,floor no 21
22Nd floor,floor no 22
22Th floor,floor no 22
bavisava floor,floor no 22
bavisva floor,floor no 22
twenty second floor,floor no 22
tevisava floor,floor no 23
tevisva floor,floor no 23
23Rd floor,floor no 23
23Th floor,floor no 23
twenty four floor,floor no 24
24Th floor,floor no 24
chovissav floor,floor no 24
25Th floor,floor no 25
panchavisva floor,floor no 25
panchvisava floor,floor no 25
twenty five floor,floor no 25
26Th floor,floor no 26
savisava floor,floor no 26
savvisava floor,floor no 26
27Th,floor no 27
sataaisth floor,floor no 27
satavisava floor,floor no 27
sattavisva floor,floor no 27
twenty seven floor,floor no 27
28Th floor,floor no 28
aathavisava floor,floor no 28
athavisava floor,floor no 28
aththavisava floor,floor no 28
Twentyeighth,floor no 28
29Th floor,floor no 29
03Rd floor,floor no 3
3D floor,floor no 3
3Dr floor,floor no 3
3Nd floor,floor no 3
3Rd floor,floor no 3
3Rfd floor,floor no 3
3Th floor,floor no 3
Ft1St floor,floor no 3
Third floor,floor no 3
Three floor,floor no 3
30Th floor,floor no 30
thirty floor,floor no 30
31St floor,floor no 31
31Th floor,floor no 31
ekathisava floor,floor no 31
ekathisva floor,floor no 31
ekatisva floor,floor no 31
ekavisva floor,floor no 31
32Nd floor,floor no 32
tehtisava floor,floor no 33
33Rd floor,floor no 33
33Th floor,floor no 33
chautisava floor,floor no 34
pastisava floor,floor no 35
pastisva floor,floor no 35
chhattisava floor,floor no 36
sadotisava floor,floor no 37
adtisava floor,floor no 38
thirty eight floor,floor no 38
eknacalyisava floor,floor no 39
ekonchalisava floor,floor no 39
thirty nine floor,floor no 39
4Rh floor,floor no 4
4T floor,floor no 4
4Th floor,floor no 4
4Th floor,floor no 4
Forth floor,floor no 4
Four floor,floor no 4
Fourt floor,floor no 4
Fourth floor,floor no 4
fourth floor,floor no 4
4Th floor,floor no 4
chalisava floor,floor no 40
ekkechalisva floor,floor no 41
athchalisava floor,floor no 48
05Th floor,floor no 5
5Ht floor,floor no 5
5T floor,floor no 5
5Th floor,floor no 5
5Trh floor,floor no 5
Fifth floor,floor no 5
fifth floor,floor no 5
Five floor,floor no 5
Fouth floor,floor no 5
Six floor,floor no 6
Sixth floor,floor no 6
sixth floor,floor no 6
06Th floor,floor no 6
6-Th floor,floor no 6
6Th floor,floor no 6
C6Th floor,floor no 6
Sisxth floor,floor no 6
07Th floor,floor no 7
7Th floor,floor no 7
Sevan floor,floor no 7
Seven floor,floor no 7
Seventh floor,floor no 7
seventh floor,floor no 7
08Th floor,floor no 8
8Th floor,floor no 8
athva floor,floor no 8
Eight floor,floor no 8
eight floor,floor no 8
Eighth floor,floor no 8
eighth floor,floor no 8
09Th floor,floor no 9
9Th floor,floor no 9
nauwa floor,floor no 9
nawwa floor,floor no 9
Nine floor,floor no 9
Nineth floor,floor no 9
Ninth floor,floor no 9
ninth floor,floor no 9
Basemant floor,floor no B0
Basement floor,floor no B0
Basment floor,floor no B0
Besment floor,floor no B0
Apartmentground floor,floor no G0
G floor,floor no G0
Gnd floor,floor no G0
Goround floor,floor no G0
Gound floor,floor no G0
Gr floor,floor no G0
Graound floor,floor no G0
Graund floor,floor no G0
Grd floor,floor no G0
Grn floor,floor no G0
Grnd floor,floor no G0
Gro floor,floor no G0
Grond floor,floor no G0
Groud floor,floor no G0
Groun floor,floor no G0
ground first floor,floor no G0
Ground floor,floor no G0
ground floor,floor no G0
ground floor,floor no G0
Ground/Stilt floor,floor no G0
Grounf floor,floor no G0
Groung floor,floor no G0
Grount floor,floor no G0
Gruond floor,floor no G0
Gruound floor,floor no G0
Hround floor,floor no G0
Round floor,floor no G0
Stilt/Gr floor,floor no G0
Stilt/Ground floor,floor no G0
Lower floor,floor no LG0
lower ground floor,floor no LG0
lower ground floor,floor no LG0
lower ground apper ground floor,"floor no LG0,UG0"
apper ground floor,floor no UG0
Ground+Upper floor,floor no UG0
Ug floor,floor no UG0
Upgr floor,floor no UG0
Uppar floor,floor no UG0
Uppargrd floor,floor no UG0
Upper floor,floor no UG0
upper gr floor,floor no UG0
upper ground floor,floor no UG0
Terrace floor,T
Top floor,T
01St,1
02Nd,2
03Rd,3
05Th,5
06Th,6
07Th,7
08Th,8
09Th,9
10Rh,10
10Th,10
11Th,11
12Th,12
13Th,13
14Th,14
15Th,15
16Th,16
17Th,17
18Tg,18
18Th,18
19Th,19
1Sr,1
1St,1
20Th,20
21St,21
21Th,21
22Nd,22
22Th,22
23Rd,23
23Th,23
24Th,24
25Th,25
26Th,26
27Th,27
28Th,28
29Th,29
2N,2
2Nd,2
2Nd/3Rd,"2,3"
2Rd,2
2Th,2
30Th,30
31St,31
31Th,31
32Nd,32
33Rd,33
33Th,33
3D,3
3Dr,3
3Nd,3
3Rd,3
3Rfd,3
3Th,3
4Rh,4
4T,4
4Th,4
5Ht,5
5T,5
5Th,5
5Trh,5
6-Th,6
6Th,6
7Th,7
8Th,8
9Th,9
And2Nd,2
C6Th,6
ground,g0
first,1
Second,2
Seconf,2
Secound,2
Sevan,7
Seven,7
Seventeen,17
Seventeenth,17
Seventh,7
Sisxth,6
Fifteenth,15
Fifth,5
First,1
Fist,1
Five,5
Forteen,14
Forth,4
Four,4
Fourt,4
Fourteen,14
Fourth,4
Fouth,4
Frist,1
Fst,1
Ft1St,1
Eight,8
Eighteenth,18
Eighth,8
Eleventh,11
Nine,9
Nineth,9
Ninth,9
One,1
Second,2
Seconf,2
Secound,2
Sevan,7
Seven,7
Seventeen,17
Seventeenth,17
Seventh,7
Sisxth,6
Six,6
Sixteen,16
Sixteenth,16
Sixth,6
Third,3
Thirteenth,13
Three,3
Ten,10
Tenth,10
Twelfth,12
Twelth,12
Twelve,12
Twelveth,12
Twentyeighth,28
Two,2
SNO,survey no
Ga No,survey no
1 floor,floor no 1
1 FLOORS,floor no 1
2 floor,floor no 2
2 FLOORS,floor no 2
3 FLOOR,floor no 3
4 FLOOR,floor no 4
5 FLOOR,floor no 5
6 FLOOR,floor no 6
7 FLOOR,floor no 7
8 FLOOR,floor no 8
9 FLOOR,floor no 9
10 FLOOR,floor no 10
11 FLOOR,floor no 11
12 FLOOR,floor no 12
13 FLOOR,floor no 13
floors,floor
floor - grd,floor no g0
floor 1st,floor no 1
floor 2nd,floor no 2
floor 3rd,floor no 3
floor 4th,floor no 4
floor 5th,floor no 5
floor 6th,floor no 6
floor 7th,floor no 7
floor 8th,floor no 8
floor 9th,floor no 9
floor 10th,floor no 10
floor 11th,floor no 11
floor 12th,floor no 12
