og_representation,mapping
Ambegaon,Ambegaon
Baramati,Baramati
Bhor,Bhor
Dhaund,Dhaund
Haveli 1 (Parvati),Haveli 1 (Parvati)
Haveli 10 (Bibavewadi),Haveli 10 (Bibavewadi)
Haveli 11 (Pune Camp),Haveli 11 (Pune Camp)
Haveli 12 (Kondhva Budruk),Haveli 12 (Kondhva Budruk)
Haveli 13 (Erandavna),Haveli 13 (Erandavna)
Haveli 14 (Chinchwad),Haveli 14 (Chinchwad)
Haveli 15 (Dighi),Haveli 15 (Dighi)
Haveli 16 (Dhayari),Haveli 16 (Dhayari)
Haveli 2 (Kasba Peth),Haveli 2 (Kasba Peth)
Haveli 3 (Hadapsar),Haveli 3 (Hadapsar)
Haveli 4 (Kothrud),Haveli 4 (Kothrud)
Haveli 5 (Pimpri),Haveli 5 (Pimpri)
Haveli 6 (Lonikalbhor),Haveli 6 (Lonikalbhor)
Haveli 7(Wagholi),Haveli 7 (Wagholi)
Haveli 8 (Yerawada),Haveli 8 (Yerawada)
Haveli 9 (Katraj),Haveli 9 (Katraj)
Indapur,Indapur
Joint S.R. Baramati2,Joint SRO Baramati 2
Joint S.R. Haveli 21,Joint SRO Haveli 21
Joint S.R. Haveli 22,Joint SRO Haveli 22
Joint S.R. Haveli 23,Joint SRO Haveli 23
Joint S.R. Haveli 24,Joint SRO Haveli 24
Joint S.R. Haveli 25,Joint SRO Haveli 25
Joint S.R. Haveli 26,Joint SRO Haveli 26
Joint S.R. Haveli 27,Joint SRO Haveli 27
Joint S.R. Haveli 28,Joint SRO Haveli 28
Joint S.R. Khed 2,Joint SRO Khed 2
Joint S.R. Khed 3,Joint SRO Khed 3
Joint S.R. Mulshi 2,Joint SRO Mulshi 2
Joint S.R. Vadgaon Maval 2,Joint SRO Vadgaon Maval 2
Jt.SRO.Haveli 17,Joint SRO Haveli 17
Jt.SRO.Haveli 18,Joint SRO Haveli 18
Junner,Junner
Khed,Khed
Lonavala,Lonavala
Mawal,Mawal
Mulshi,Mulshi
Narayangaon,Narayangaon
Purandar,Purandar
Shirur,Shirur
SRO.Haveli 19,SRO Haveli 19
SRO.Haveli 20,SRO Haveli 20
SRO.Kedgaon,SRO Kedgaon
Talegaon Dhamdhere,Talegaon Dhamdhere
Velha,Velha
Alibag,Alibag
Andheri 1 (Bandra),Andheri 1 (Bandra)
Andheri 2 (Andheri),Andheri 2 (Andheri)
Andheri 3(Andheri),Andheri 3 (Andheri)
Bhivandi 1,Bhivandi 1
Bhivandi 2,Bhivandi 2
Borivali 1 (Malad),Borivali 1 (Malad)
Borivali 2 (Kandivali),Borivali 2 (Kandivali)
Borivali 3 (Borivali),Borivali 3 (Borivali)
Borivali 7 (Borivali),Borivali 7 (Borivali)
Dahanu,Dahanu
