og_representation,mapping,confusion,frequency
प्लाट,Plot,,360976
खसरा,Khasra,,267036
न,N,,191404
रकवा,area,,183342
है,Hai,,168977
भाग,Bhag,,165270
का,Ka,,160107
किता,Kita,,155708
एक,1,y,147592
नं,No,y,138029
व,V,,132629
क्षे,Area,,90372
सं,no,y,88454
वर्ग,square,,80149
रकबा,Area,,79564
खाता,Khata,,78886
मी,Mi,,69051
आराजी,registered,,65589
नं०,no,y,63328
मकान,house,,62616
कृषि,Agricultural,,54707
है०,hectare,y,53930
जो,Jo,,50315
सं०,,y,49506
कुल,Kul,,48180
वर्गमी,Sqaure,,46878
न०,no,y,45452
में,Mai,y,45366
संख्या,No,,44965
खाली,empty,,44451
से,Se,,43234
गाटा,Gata,,42134
ए,A,,42012
नम्बर,No,,38684
भूखण्ड,plot,,35672
मे,Me,,33678
कालौनी,Colony,,32960
मौजा,Mauja,,31795
स,S,,31624
नगर,Nagar,,31544
सम्पूर्ण,Sampurn,,31053
मि,Mi,,29465
पर,Par,,29370
के,K,,29180
बी,B,,28172
भवन,Bhavan,,27841
आदि,Aadi,,27573
विक्रय,Vikray,,27140
अन्दरून,Andrun,,26436
वर्गमीटर,square meter,,25457
मीटर,Meter,,25117
हैक्टेयर,Hectare,y,23798
स्थित,located,,22125
जमीन,Jameen,,22098
अपने,Apne,,21892
नंबर,no,,21244
भूमि,land,,20662
हे,He,,20588
क्षेत्रफल,Area,,19735
प्‍लाट,Plot,,18561
हिस्से,Hisse,,17643
दुकान,Dukan,,17390
गा,Ga,,16404
सी,C,,16270
मि०,,y,15793
जुज,Juj,,15652
खेत,Khet,,15539
वाकै,Vakai,,15181
आगरा,Agra,,14922
बना,Bana,,14824
निगम,Nigam,,13074
बाकै,Bakai,,13023
जिसका,Jiska,,12910
अ,A,y,12696
वाटर,Water,y,12559
जी,G,,12351
आवासीय,Aavasiy,,12288
जायदाद,Jaydad,,12194
रेट,Rate,y,12078
प्लॉट,Plot,,11221
ख्ेतखसरा,,y,11101
फेस,Phase,,11072
कालोनी,Colony,,11053
ई,E,,10160
तल,Tal,,10143
खसरानं,Khasranan,y,10014
ब,B,y,9847
यानि,Yani,,9511
एस,S,,9499
श्री,Shree,,9452
केवल,Keval,,9080
तादाद,Tadad,,9020
डी,D,,9014
यानी,Yani,,8895
प्रथम,1st,y,8708
फ्लैट,Flat,,8609
जिला,district,,8511
एफ,F,,8501
निर्मित,Nirmit,,8311
बिहार,Bihar,,8299
की,Ki,,8031
तहसील,Tehsil,,8028
अंश,Ansh,,7829
ख,K,y,7585
ब्लाक,Block,,7487
क्षे०,Area,y,7445
वर्गगज,Varg gaj,,7286
सिटी,City,y,7129
अन्दरुन,Andrun,,7116
मी०,,y,6929
दो,2,y,6621
क,K,y,6615
भूतल,Bhutal,,6598
कॉलोनी,Colony,,6564
वाटिका,Vatika,,6372
धाम,Dham,,6224
स०,,y,6196
विक्रीत,Vikrit,,6160
व०मी०,square meter,y,5467
काभाग,Ka bhag,,5440
नम्बरी,no,,5401
तादादी,Tadadi,,5383
फलैट,Flat,,5362
कि,Ki,,5345
फिलैट,Flat,,5045
पुराना,Purana,,5017
विहार,Vihar,,4949
खसरानं०,Khasra no,Y,4916
आपस,Aapas,,4903
मिले,Mile,,4875
नया,new,,4776
मेसे,Mese,,4717
है।,Hectare,y,4714
मथुरा,Mathura,,4693
नगला,Nagla,,4620
सैक्टर,Sector,,4613
एकड,Acre,,4574
सेक्टर,Sector,,4495
हिस्सा,Hissa,,4480
ख्ेत,,Y,4470
गज,Gaj,,4102
सम्पत्ति,Sampatti,,4095
नरायच,Naraych,,4076
आबादी,Aabadi,,4029
भूमिधरी,Bhumidhari,,3930
उत्तरी,Uttari,,3764
पक्ष,Paksh,,3731
मिनजुमला,Minjumla,,3708
पूरा,Pura,,3692
कृष्णा,Krishna,,3649
निकट,Nikat,,3625
नंबरी,no,,3548
मंजिला,Manjila,,3502
कुंज,Kunj,,3493
कॉलौनी,Colony,,3486
दक्षिणी,Dakshini,,3484
टी,T,,3475
वर्गमी०,Sqaure,y,3466
पार्ट,Part,,3435
संख्‍या,Number,,3401
प्रथमतल,Prathamtal,,3287
क्षै,Kshai,,3149
पूर्वी,Purvi,,3147
आई,Aai,,3053
मेरा,Mera,,3052
पूर्ण,Purn,,3042
टावर,Tower,,3018
एम,M,,3012
पश्चिमी,Pashchimi,y,3001
अपना,Apna,,2935
एन्क्लेव,Enclave,,2879
हे०,Hectare,y,2868
क्षेत्र,Area,,2851
वाके,Vake,,2779
यूनिट,Unit,,2731
पी,P,,2724
मेंसे,Mainse,y,2714
फ्लोर,Floor,,2658
सम्‍पूर्ण,Sampurn,,2596
एककिता,1,y,2589
द्वितीय,2nd,y,2583
ब्लॉक,Block,,2581
छत,Chat,,2526
वग्र,square meter,,2493
रिलीज,Release,,2463
फलेट,Flat,,2451
एच,H,,2448
एल,L,,2429
आराजीरकवा,registered,,2399
स०ं,,Y,2358
वकदर,Vakdar,,2339
विक्रित,Vikrit,,2275
खसरान,Khasran,,2244
किया,Kiya,,2209
न्ं,no,y,2209
आर,R,,2204
खा,Khasra no,,2177
व्,,y,2168
राधा,Radha,,2156
ग्राम,Gram,,2145
नई,Nai,y,2130
पुरानी,Purani,,2114
बनी,Bani,,2106
मय,May,,2104
आगरा।,Agra.,y,2099
हैा,Hectare,y,2090
शेष,Shesh,,2077
वार्ड,Ward,,2048
वग्रमी,square meter,,2030
बांगर,Bangar,,2020
गार्डन,Garden,,1957
वर्गम्ी,square meter,y,1925
प्राईवेट,Private,,1903
ग्रीन,Green,,1901
हैक्ट,Hect,y,1889
तामीर,Tamir,,1876
पुरम,Puram,,1874
कृष्ण,Krishna,,1815
इकाई,Ikai,y,1797
एन्कलेव,Enclave,,1786
रेजीडेन्सी,Residency,,1775
हैं,Hain,y,1772
तय,Tay,,1705
कुलक्षे,Kulkshe,,1692
खेतखसरा,Khetkhasra,,1657
पलाट,Plot,,1653
योजना,Yojna,,1630
डब्लू,W,,1591
वी,V,,1569
वर्गमीप्लाट,square meter,y,1557
गोदाम,Godam,,1555
फल,Fal,,1552
बॉकै,Bokai,y,1513
एक्सटेंशन,Extension,,1507
स्टेट,State,,1457
बकदर,Bakdar,,1445
रोड,Road,,1443
लगायत,Lagayat,,1423
बसन्त,Basant,,1421
राधाकृष्ण,Radha krishn,,1406
तीन,3,y,1382
प्लाटन,Platan,y,1375
विक्रेता,Vikreta,,1346
अ‚,A,y,1336
क्षैत्र,Area,,1336
ख०सं०,Khasra no,y,1326
भूमिमुक्ति,Bhumi mukti,,1298
मात्र,Matra,,1295
तृतीय,Trutiy,,1288
संपूर्ण,Sampurn,,1256
एन,N,,1249
बिना,Bina,,1230
फिलोर,Floor,,1218
रकवाकुल,area,,1191
व्यवसायिक,Vyavsayik,,1190
गणेश,Ganesh,,1187
राज,Raj,,1174
टाउन,Town,,1163
फीट,Feet,,1156
फलोर,Floor,,1153
वर्गम,Sqaure,,1149
विकास,Vikas,,1147
जे,J,,1132
मिन,Min,,1118
राधिका,Radhika,,1115
द्वितीयतल,Dvitiytal,,1102
आय,Aay,y,1098
आधा,Aadha,,1088
ग्राउण्ड,Ground,,1077
गिर्राज,Girraj,,1065
वैली,Vaili,,1065
ग,G,y,1061
एस्टेट,Estate,,1046
मंजिल,Manjil,,1033
आवास,Aavas,,1031
भूखण्‍ड,Bhukhand,,1031
तक,Tak,,1025
पोइया,Poiya,y,1012
वृन्दा,Vrunda,,1001
जुमला,Jumla,,998
नि,Ni,,997
ख्ेतखसरानं,,y,995
कमरा,Kamra,,993
सौदा,Sauda,,980
प्लाजा,Plaza,,976
क्ष्े,Area,y,966
तयशुदा,Tayshuda,,964
पॉकेट,Pocket,,961
वि,V,,959
क्रषि,Krashi,,948
यथोचित,Yathochit,,941
प्लाट‚,"Plot,",y,932
अपार्टमेन्ट,Apartment,,930
मौहल्ला,Mauhalla,,926
टाईप,Type,,925
वृन्दावन,Vrundavan,,923
श्रीराधा,Shri radha,,919
र,R,y,916
जा,Ja,,913
खसरास,Khasra no,,907
गली,Gali,,902
एरिया,Area,,901
मौह,Mauh,,896
फ्लौर,Floor,,877
फुट,Foot,,874
बांकै,Bankai,y,872
सखंया,Sakhanya,,860
जिसमें,Jismain,y,858
कृष्णाधाम,Krishandham,,857
भूखंड,Bhukhand,,854
भाग‚,"Bhag,",y,844
गोवर्धन,Govardhan,,843
टू,To,,827
शिव,Shiv,,823
अछनेरा,Achnera,,818
उत्तर,Uttar,,818
है०में,Hectare,Y,812
ऑन,On,,806
मुस्तकिल,Mustkil,,802
तृतीयतल,Trutiytal,,796
गढी,Gadhi,,792
बाग,Bag,,792
चतुर्थ,4th,y,774
न्यू,New,,770
पश्चिम,Pashchim,y,765
नगरनिगम,Nagar Nigam,,763
अंदरुन,Andrun,,758
बृज,Bruj,,757
बाके,Bake,,750
सै,Sai,,748
दुर्बल,Durbal,,745
पुष्प,Pushp,,743
अंदरून,Andrun,,738
कान्हा,Kanha,,728
चक,Chak,,727
मंे,,y,726
अन्तर्गत,Antargat,,723
सराय,Saray,,718
सरिता,Sarita,,717
शान्ती,Shanti,,714
दक्षिण,Dakshin,,712
बाहर,Bahar,,712
सैकिण्ड,2nd,,706
डिस्चार्ज,Discharge,,701
अहीर,Ahir,,691
शुदा,Shuda,,686
फ्लेट,Flat,,684
अमर,Amar,,678
पार्क,Park,,676
वन,Van,,676
श्रीजी,Shreeji,,675
हाल,Hal,,673
