og_representation,mapping,confusion,count
श्री,Shree,,473512
श्रीमती,Shreemati,,250277
सिंह,singh,y,148092
देवी,Devi,,120072
कुमार,Kumar,,115937
द्वारा,Dwara,,63896
के,K,,55494
सिह,singh,,51346
शर्मा,Sharma,,42529
बैंक,Bank,,36970
बैक,Bank,,34584
अग्रवाल,Agraval,,33092
केनरा,Canara,,24937
गुप्ता,Gupta,,24455
आगरा,Agra,,15036
आर्यावर्त,Aaryavart,,14529
जैन,Jain,,13806
उर्फ,",",,13303
सिडिकेट,syndicate,,13131
कुमारी,Kumari,,12979
यादव,Yadav,,12367
ग्रामीण,Gramin,,12090
बेक,Bank,,10870
लाल,Lal,,10832
वर्मा,Varma,,10174
चन्द,Chand,,9603
आम,",",,9407
बेगम,Begam,,9383
प्रसाद,Prasad,,9151
स्टेट,State,,9004
गोयल,Goyal,,8663
लि,Limited,,8581
राम,Ram,,8385
राकेश,Rakesh,,7918
मुकेश,Mukesh,,7870
मु,",",,7850
ऑफ,Of,,7729
बंसल,Bansal,,7565
व,v,,7352
संजय,Sanjay,,7294
प्रबंधक,Prabandhak,,7230
बेंक,Bank,,6958
लि०,limited,y,6947
प्रकाश,Prakash,,6943
राजेश,Rajesh,,6903
मनोज,Manoj,,6900
अनिल,Anil,,6804
सुनीता,Suneeta,,6753
विजय,Vijay,,6629
अशोक,Ashok,,6449
मैसर्स,Maisars,y,6350
राजेन्द्र,Rajendra,,6167
विनोद,Vinod,,6140
खान,Khan,,6054
कैनरा,Canara,y,5939
गर्ग,Garg,,5829
भारतीय,Bharatiya,,5701
दिनेश,Dinesh,,5625
विकास,Vikas,,5588
सुरेश,Suresh,,5531
कमलेश,Kamlesh,,5423
सचिव,Sachiv,,5284
प्रा,Private,,5171
सुनील,Sunil,,5163
अजय,Ajay,,5057
आवास,Aavas,,4943
चन्द्र,Chandra,,4927
राजकुमार,Raj kumar,,4823
ममता,Mamta,,4769
मीना,Meena,,4728
महेश,Mahesh,,4569
गीता,Geeta,,4554
मोहन,Mohan,,4383
सहकारी,Sahkari,,4353
आफ,Of,y,4310
समिति,Samiti,,4262
मुन्नी,Munni,,4234
प्रमोद,Pramod,,4228
अमित,Amit,,4222
जितेन्द्र,Jitendra,,4221
मौहम्मद,Mauhammad,,4179
भगवान,Bhagvan,,4171
बाबू,Babu,,4150
पार्टनर,Partner,,4148
सीबी,Seebi,,4146
प्रा०,Private,y,4133
सीमा,Seema,,4097
वी,V,,4083
रानी,Rani,,4033
अनीता,Anita,,4007
रेखा,Rekha,,4007
रमेश,Ramesh,,3994
सुमन,Suman,,3981
जगदीश,Jagdish,,3964
देवेन्द्र,Devendra,,3942
बी,B,y,3922
मित्तल,Mittal,,3918
लक्ष्मी,Lakshmi,,3871
चौहान,Chauhan,,3861
मंजू,Manju,,3807
वीरेन्द्र,Virendra,,3790
पी,P,,3688
मीरा,Meera,,3670
प्रताप,Pratap,,3648
अली,Ali,,3593
राजीव,Rajeev,,3577
सरोज,Saroj,,3546
ओमप्रकाश,Om prakash,,3528
महेन्द्र,Mahendra,,3518
पाल,Pal,,3517
राजवीर,Rajveer,,3451
शिव,Shiv,,3398
प्रेम,Prem,,3394
एल,L,,3342
रावत,Ravat,,3338
रामवीर,Ramveer,,3302
नीरज,Neeraj,,3282
पवन,Pavan,,3258
दीपक,Deepak,,3233
वहे,Vahe,,3211
चौधरी,Chaudhari,,3204
नरेन्द्र,Narendra,,3198
किशन,Kishan,,3166
मुख्तार,Mukhtar,,3166
ओ,O,,3159
आशा,Aasha,,3149
मनीष,Manish,,3144
इण्डिया,India,,3141
पुष्पा,Pushpa,,3130
उपाध्याय,Upadhyay,,3113
सतीश,Satish,,3108
आधार,Aadhar,,3099
मो,Mo,,3079
राधा,Radha,,3069
किशोर,Kishor,,3066
कुशवाह,Kushvah,,3021
डवलपर्स,Developers,,3019
राजकुमारी,Ram kumari,,3015
गौतम,Gautam,,3012
सिंघल,Singhal,,3009
ऊषा,Usha,,3002
लिमिटेड,Limited,,2991
राठौर,Rathaur,y,2975
गोपाल,Gopal,,2975
राहुल,Rahul,,2974
चाहर,Chahar,,2952
श्रीवास्तव,Shrivastav,,2945
प्रदीप,Pradip,,2940
धर्मेन्द्र,Dharmedra,,2902
सुरेन्द्र,Surendra,,2888
पूरन,Pooran,,2871
स्टैट,State,,2864
डी,D,,2845
खां,,y,2837
गुडडी,Guddi,,2807
पूनम,Poonam,,2800
मिथलेश,Mithlesh,,2789
अहमद,Ahmad,,2779
योगेश,Yogesh,,2773
शीला,Sheela,,2757
चंद,Chand,,2748
रवि,Ravi,,2744
गुप्‍ता,Gupta,,2710
पंकज,Pankaj,,2708
भूरी,Bhuri,,2705
विमला,Vimla,,2686
उमेश,Umesh,,2673
महावीर,Mahaveer,,2667
जीबीए,JBA,,2664
रजनी,Rajni,,2648
उर्मिला,Urmila,,2645
नरेश,Naresh,,2618
माया,Maya,,2616
मिश्रा,Mishra,,2591
तिवारी,Tiwari,,2541
पप्पू,Pappu,,2480
ओमवती,Omvati,,2474
आई,I,,2471
राज,Raj,,2458
राजू,Raju,,2453
उम्र,Umra,,2433
सी,C,,2410
अमर,Amar,,2409
संजीव,Sanjeev,,2405
इन्फ्रा,Infra,y,2397
श्याम,Shyam,,2387
हरी,Hari,,2383
नीलम,Neelam,,2352
यूको,Uco,,2351
उ,U,,2330
रामवती,Ramvati,,2324
शकुन्तला,Shakuntala,,2321
कमल,Kamal,,2304
प्रेमवती,Premvati,,2304
गुड्डी,Guddi,,2300
जारूआ,Jaruaa,y,2299
