og_representation,mapping
सर्व नं,All no
सम्पति नंबर,Asset no
सम्पति संख्या,Asset no
बेसमेंट नं,Basement no
बेसमंेट नं,Basement no
बेसमेन्ट नम्बर,Basement no
बैसमेन्ट नम्बर,Basement no
वेसमेन्ट संख्या,basement no
बलॉक संख्या,Block no
ब्लक नं,Block no
ब्लाक न,Block no
ब्लाक नं,Block no
ब्लाक नंबर,Block no
ब्लाक नम्बर,Block no
ब्लाक संख्या,Block no
ब्लाक् नं,Block no
ब्लाॅक नं,Block no
ब्लाॅक नम्बर,Block no
ब्लाॅक संख्या,Block no
ब्लॉक न,Block no
ब्लॉक नं,Block no
ब्लॉक नंबर,Block no
ब्लॉक नम्बर,Block no
ब्लॉक संख्या,Block no
व्लाक नम्बर,block no
व्लॉक संख्या,block no
इमारत न,Building no
बिल्डग नं,Building no
बिल्डिग नं,Building no
बिल्डिंग नम्बर,Building no
भवन न,Building no
भवन नं,Building no
भवन नंबर,Building no
भवन नम्बर,Building no
भवन संख्या,Building no
भवन⁄भूखण्ड संख्या,Building no
बंगला नं,Bungalow no
व्यावसायिक संख्या,business no
केस नं,Case no
कॉम्पलैक्स न,Complex no
कॉम्पलैक्स नम्बर,Complex no
अहाता नं,compound no
कारपोरेश नं,Corporation no
पालिका नं,Corporation no
करपोरेश नम्बर,corporation no
कारपोरशन न,Corporation no
कारपोरशन नं,Corporation no
कारपोरशेन नं,Corporation no
कारपोरेशन न,Corporation no
कारपोरेशन नं,Corporation no
कारपोरेशन नम्बर,Corporation no
कारपोरेशन संख्या,Corporation no
कारपोरेशेन नं,Corporation no
कारपोरेसन नं,Corporation no
कारोपोरेशन संख्या,Corporation no
कार्पाेेरेशन नम्बर,Corporation no
कार्पोरेशन नम्बर,corporation no
काॅरपोरेशन नं,Corporation no
काॅरपोरेशन संख्या,corporation no
कॉपरेशन नम्बर,corporation no
कॉपोरेशन नं,Corporation no
कॉरपाेरेशन नं,corporation no
कॉरपोरशन संख्या,Corporation no
कॉरपोरशेन नं,Corporation no
कॉरपोरेश नं,corporation no
कॉरपोरेशन नं,Corporation no
कॉरपोरेशन नम्बर,Corporation no
कॉरपोरेशन संख्या,Corporation no
कॉरपोरेशेन नम्बर,Corporation no
कॉरपोरेश्न नं,Corporation no
कॉरपोरेश्ेन नं,Corporation no
कॉरपोेरेशन नं,Corporation no
कॉरेपोरशन नं,Corporation no
कॉर्परेशन नम्बर,Corporation no
कॉर्पोरेशन नं,Corporation no
कॉर्पोरेशन संख्या,Corporation no
कोरपोरशेन नं,Corporation no
कोरपोरेशन न,Corporation no
कोरपोरेशन नं,Corporation no
कोरपोरेशन संख्या,Corporation no
कोर्पोरेशन नं,Corporation no
निगम न,corporation no
निगम नं,corporation no
निगम नंबर,corporation no
निगम नम्बर,corporation no
निगम संख्या,corporation no
निगमन नं,corporation no
निमग नम्बर,corporation no
निमग संख्या,corporation no
महापालिका नम्बर,Corporation no
म्यूनिसिपल नम्बर,Corporation no
काटेज नं,Cottage no
कॉटेज संख्या,Cottage no
परिषद नं,Council no
परिषद नम्बर,Council no
काउंटर नम्बर,Counter no
मौजूदा न,current no
मौजूदा नम्बर,current no
वर्तमान न,current no
वर्तमान नं,Current no
वर्तमान नम्बर,Current no
वर्तमान संख्या,Current no
डुप्लकेस नं,duplex no
एम्पोरियम नम्बर,Emporium no
ऐम्पोरियम संख्या,Emporium no
जयदाद नं,Estate no
जयदादा नं,Estate no
जयादाद नं,Estate no
जाज्दाद न,Estate no
जायदााद नं,Estate no
जाययदा नं,Estate no
जायाद संख्या,Estate no
जायादउ नं,Estate no
जायादाद नं,Estate no
ews नम्बर,EWS no
ईडब्लूएस नं,EWS no
ईडब्लूएस नम्बर,EWS no
एक्स नं,extension no
खेत नंबर,Farm no
खेत नम्बर,Farm no
खेत संख्या,Farm no
प्रथमतल नं,first floor
प्रथमतल नम्बर,first floor
फलंेट नं,flat no
फिल्ैटं न,flat no
अपार्टमेंट नम्बर,Flat no
अपार्टमेन्ट न,Flat no
अपार्टमेन्ट नम्बर,Flat no
आकाश⁄फिलैट नं,Flat no
आकाश⁄फिौट नं,Flat no
एककितप्लाट नं,Flat no
एककिताप्लाट नम्बर,Flat no
कमरा नं,Flat no
कोरीडोर⁄फिलैट नं,Flat no
कोरीडोर⁄सीढियां⁄फिलेट नं,Flat no
कोरीडोर⁄सीढियां⁄फिलैट न,Flat no
कोरीडोर⁄सीढियां⁄फिलैट नं,Flat no
पलाट न,Flat no
पलाट नं,Flat no
पलाट नंबर,Flat no
पलाट नम्बर,Flat no
पलाट संख्या,Flat no
पालट नं,Flat no
प्लट नं,Flat no
प्लट संख्या,Flat no
प्लाटखसरा नं,flat no
प्लााट संख्या,Flat no
प्लाॅट नं,Flat no
प्लाॅट नम्बर,Flat no
प्लाॅट संख्या,Flat no
प्लॅाट नम्बर,Flat no
प्लॅाट संख्या,Flat no
प्लॉॅट संख्या,Flat no
फलट नं,flat no
फलेट न,flat no
फलेट नं,Flat no
फलंंेट नं,flat no
फलेट नम्बर,Flat no
फलेट संख्या,Flat no
फलैअ संख्या,flat no
फलैट न,Flat no
