og_representation,mapping
पट्टे का अभित्याग,Others
विक्रय अनुबंध विलेख (कब्जा),Sale
उप पट्टा विलेख,Lease
विक्रय पत्र,Sale
स्वत्व पत्रों क ा निक्षेपण,Mortgage
मुसन्ना,Others
विक्रय अनुबंध विलेख (बिना कब्जा),Sale
जमानतनामा,Others
अनुबंध विलेख(सामान्य),Sale
अंतरण पत्र,Sale
विक्रय अनुबंध विलेख का निरस्तीकरण,Others
दान पत्र,Others
बंधक पत्र(बैंक कृषि ऋण),Mortgage
प्रतिहस्तान्तरण विलेख (सरकारी ),Sale
अंतरण विक्रय पत्र,Sale
पट्टा विलेख(30 वर्ष से अधिक),Lease
विक्र य अनुबंध विलेख,Sale
अंतरण विक्र य पत्र,Sale
व्यवसथापन विलेख,Others
पट्टाधिकार का अंतरण,Others
प्रतिविलेख(मुसन्ना),Others
प्रतिहस्तान्तरण विलेख (बैंक कृषि ऋण),Sale
विक्र य अनुबंध विलेख (कब्जा),Sale
पट्टे क ा अभित्याग,Others
प्रतिभूति पत्र,Mortgage
प्रतिहस्तान्तरण विलेख,Sale
विनिमय विलेख,Others
बंधक पत्र (बिना कब्जा),Mortgage
धारा 80 उ0प्र0 राजस्व संहिता 2006,Others
विक्रय का प्रमाणपत्र,Sale
विभाजन का विलेख,Others
पट्टाधिकार का अंतरण / विक्रय पत्र,Sale
बंधक पत्र (कब्जा),Mortgage
पूरक लेखपत्र,Others
पट्टाfधक ार क ा अंतरण,Lease
शुद्धिपत्र,Others
विक्र य अनुबंध विलेख (बिना कब्जा),Sale
पट्टा अनुबंध विलेख,Lease
रसीद,Others
पट्टा विलेख/ कबूलियतनामा,Lease
बंधक पत्र,Mortgage
विक्र य का प्रमाणपत्र,Sale
तितम्मा,Others
विक्र य अनुबंध विलेख का निरस्तीकरण,Others
दस्तवरदारी विलेख,Others
विक्रय अनुबंध विलेख (बिल्डर),Sale
प्रतिहसतान्तरण विलेख(सामान्य),Sale
विक्र य पत्र,Sale
स्वत्व पत्रों का निक्षेपण,Mortgage
बाँड,Others
बंधक पत्र (सरकारी ),Mortgage
बंध पत्र (BOND),Mortgage
पट्टा विलेख,Lease
