word,translation,confusion,frequency,example
अग्रवाल,Agrawal ,,1,न्यू अग्रवाल क ालोनी /अग्रवाल क ालोनी
देवकी,Devki,,1,देवकी इन्क्लेव /देवकी धाम कॉलोनी
आफीसर्स,Officers,,1,नीरवनिकुंजफेस-1/आफीसर्स कालौनी
विस्तार,Vistar,,1,नगर पंचवटी/विस्तार
ए,A,,35,अजीजपुर ( सिरोली मोड से आराधना गैस एजेन्सी तक)
अ,A,,8,अई
आ,Aa,,6,"अछनेरा (देहात), नगला अर्रुआ"
आबादी,Aabadi,,42,उत्तम नगर एवं पालीवाल विद्यालय के पीछे की विक ासशील आबादी
आचार्य,Aachary,,2,आचार्य नगर
आदमपुर,Aadampur,,7,आदमपुर
आदर्श,Aadarsh,,4,आदर्श नगर
आधार,Aadhar,,1,मगलम आधार
आढत,Aadhat,,2,आढत बाजार
आफि,Aafi,,2,ब्लाक आफि स से आगे बस स्टेण्ड तक
आगा,aaga,,1,खिडकी आगा
आगई,Aagaee,y,8,आगई
आगे,Aage,,6,औरगाबाद मोड से आगे ग्राम बाद की प्रारम्भिक सीमा तक
आहीरपारा,Aaheerpada,,1,आहीरपारा
आई,Aai,,22,अंसल ए पी आई पनवारी
अाई,Aai,,1,अाई काेन इन्कलेव
आजाद,Aajad,,4,आजाद गली
आजम,Aajam,,9,आजमपाड़ा
आजमपाड़ा,Aajampada,,1,आजमपाड़ा
आजमपुर,Aajampur,,1,आजमपुर
आझई,Aajhaee,y,12,आझईकलां
आझईकलां,Aajhaikala,y,1,आझईकलां
आजमाबाद,Aajmabad,,4,सराय आजमाबाद
आजमखा,Aajmakha,,1,घटिया आजमखा
आजनौख,Aajnaukh,,1,आजनौख
आजनोख,Aajnokh,,8,आजनोख
आक,Aak,,2,आकाश एन्कलेव
आकाश,Aakash,,1,आकाश एन्कलेव
आकिल,Aakil,,1,पट्टी आकिल खाँ
आकृति,Aakruti,,2,आकृति अपार्टमेन्ट बालूगंज
आलमगंज,Aalamganj,,1,आलमगंज
आलमपुर,Aalampur,,1,आलमपुर
आलियाबाद,Aaliyabad,,1,बील आलियाबाद
आलोक,Aalok,,1,आलोक नगर
आमी,Aami,,1,आमी गार्डन
आम्रपाली,Aamrapali,,1,कान्हा आम्रपाली
आाम्रपाली,Aamrapali ,,1,क ान्हा आाम्रपाली
आंशिक,Aanshik,,19,गढ़ी दरियाब आंशिक
आँवलखेड़ा,Aanvalkheda,y,3,आँवलखेड़ा
आन्यार,Aanyar,,1,दान घाटी से आन्यार मार्ग पर नगर पंचायत की सीमा के अन्दर
आन्यौर,Aanyaur,,7,आन्यौर
आराधना,Aaradhana,,2,अजीजपुर ( सिरोली मोड से आराधना गैस एजेन्सी तक)
आराजी,Aaraji,,3,आराजी इम्लाक
आरामी,Aarami,,1,आरामी गार्डन
आर्दश,Aardash,y,2,आर्दश नगर न 0 रामबल
आरकेड,Aarked,y,1,गणपति आरकेड
आरती,Aarti,,3,आरती एन्कलेव
आर्य,Aary,,3,आर्य जयन्त अपार्टमेन्ट्स
अार्य,Aary,,1,अार्य नगर की तीनो गली
आर्यनगर,Aary nagar,,1,आर्यनगर
आर्यन,Aaryan,,2,आर्यन एन्कलेव
आस,Aas,,6,आसफाबाद
आसफ,Aasaf,,1,आसफाबाद
आसफाबाद,Aasfabad,,2,आसफाबाद
आशिंक,Aashinm,,5,क साई घेरा आशिंक
आर्शीवाद,Aashirvad,,3,आर्शीवाद कालोनी
आर्शीवार्द,Aashirvard,,1,आर्शीवार्द रेजिडेन्सी
आशीष,Aashish,,1,कावेरी आशीष विला
आशिष,Aashish ,,1,कावेरी आशिष विला
