word,translation,confusion,example,frequency
‚,,,बरूआ नगर ‚ चित्रगुप्त नगर,1
अकबरपुर,Akbarpur,,अकबरपुर,1
अंगूठी,Anguthi,,अंगूठी,1
अजीजपुर,Azizpur,,अजीजपुर,6
अटखम्भा,Athkamba,t,अटखम्भा गली नगर पंचायत गोकुल,1
अठखम्बा,Athkamba,t,अठखम्बा नगर पालिका वृन्दावन,2
अडडा,Adda,t,नगर पंचायत बरसाना (मौहल्ला सुदामा पुराना अडडा रंगीली गली),3
अडूकी,Aduki,,अडूकी,1
अति,Ati,t,अतिविशिष्ट ग्राम,2
अतिरिक्त,,t,उपर्युक्त के अतिरिक्त अन्दर नगर पंचायत सीमा गोवर्धन,7
अतिविशिष्ट,,t,अतिविशिष्ट ग्राम,2
अध्यापक,,t,अध्यापक कालौनी नगर पंचायत राया,1
अन्तर्गत,,t,यमुना एक्सप्रेस वे के अन्तर्गत पडने वाले राजस्व ग्राम,1
अन्द,,t,उपर्युक्त के अतिरिक्त अन्दर नगर पंचायत सीमा गोवर्धन,1
अन्दर,,t,उपर्युक्त के अतिरिक्त अन्दर नगर पंचायत सीमा गोवर्धन,3
अपार्टमेंट,,t,अपार्टमेंट व काम्पलैक्स,1
अपार्टमेन्ट,,t,अपार्टमेन्ट व काम्पलेक्स,2
अब्दुल,,t,अब्दुल नवीपुर खादर,2
अभयपुरा,Abhaypura,,अभयपुरा राजस्व ग्राम,4
अम्बाखार,,t,अम्बाखार,2
अम्बेडकर,Ambedkar,t,अम्बेडकर नगर कालोनी,1
अरतौनी,Artauni,,अरतौनी,1
अर्जुनपुरा,Arjunpura,,अर्जुनपुरा,2
अर्द्घनगरीय,,t,अर्द्घनगरीय क्षेत्र,1
अलबतिया,Albatia,,अलबतिया,1
अलीपुर,Alipur,,कोयला अलीपुर बांगर,1
अल्हैपुर,Alhaipur,,अल्हैपुर,1
अंश,,t,मौहल्ला छाजू अंश लडूका नगर पंचायत नन्दगांव,4
असगरपुर,Asgarpur,,सतोहा असगरपुर,1
अंसल,Ansal,t,अंसल ए पी आई पनवारी,1
अहि,Aahi,,नगरपालिक ा वृन्दावन सीमा के बाहर अहि,1
अहीर,Ahir,,अहीरपाडा,5
अहीरपाडा,Ahir Pada,,अहीरपाडा,2
आइ,,t,यू०पी0एस०आइ०डी०सी,1
आई,,t,अंसल ए पी आई पनवारी,2
आगरा,Agra,,आगरा,24
आगा,,t,खिडकी आगा,1
आजमपुर,Azampur,,आजमपुर,1
आजमाबाद,Azamabad,,सराय आजमाबाद,3
आटस,,t,आटस बांगर,1
आन्‍यौर,Aanyor,,आन्‍यौर,1
आबक,Abak,t,नगर पंचायत छाता (आबक ारी),1
आबकारी,Abakari,,मौहल्ला आबकारी नगर पंचायत छाता,1
आबादी,,t,मु० उखर्रा पुरानी आबादी,2
आर्य,Arya,,आर्यनगर नगर पंचायत बाजना,1
आर्यनगर,Arya Nagar,,आर्यनगर नगर पंचायत बाजना,2
