og_representation,mapping
पालघर,Palghar
मुंबई उपनगर जिल्हा,Mumbai Suburban
ठाणे,Thane
रायगड,Raigad
मुंबई जिल्हा,Mumbai
अमरावती,Amravati
कोल्हापूर,Kolhapur
यवतमाळ,Yavatmal
सातारा,Satara
सांगली,Sangli
नाशिक,Nashik
गोंदिया,Gondia
नागपूर,Nagpur
अकोला,Akola
पालघर,Palghar
मुंबई उपनगर जिल्हा,Mumbai Suburban
ठाणे,Thane
रायगड,Raigad
मुंबई जिल्हा,Mumbai
अमरावती,Amravati
कोल्हापूर,Kolhapur
यवतमाळ,Yavatmal
सातारा,Satara
सांगली,Sangli
नाशिक,Nashik
गोंदिया,Gondia
नागपूर,Nagpur
अकोला,Akola
बीड,Beed
औरंगाबाद,Aurangabad
पुणे,Pune
