og_representation,mapping
-श्री.,Shri.
.डायरेक्टर,director
.डायरेक्टर,Director
.श्री,Sri
.श्री,Sri
(एच,H
(एच,H
(देविदास),devidas
(पॅन,Pan
(मयत),Deceased
"(मयत),",Deceased
"{""एक्झर्बिया",XRBIA
"{""मे.",M/s.
"{""श्री",Shri.
"{""श्री.",Shri.
"{""श्रीमती",Smt.
/ओमकार,omkar
/ओमकार,Omkar
&#x0D,","
&#x0D,","
&#x0D,","
&#x0D,","
&#x0D,","
&#x0D,","
%,percent
1.श्री,Sri
ॲण्ड,and
ॲथोराईज,authorize
ॲन्ड,and
ॲन्ड,and
ॲन्ड,and
अ,A
अ,A
अ,A
अ.,A.
अ.,A.
अ.पा.क,APK
अ.पा.क,APK
अ.पा.क,APK
अ.पा.क.,APK
अ.पा.क.,APK
अकबर,Akbar
अकबर,Akbar
अकबर,Akbar
अकबरअली,akbar ali
अकरम,akram
अंकित,Ankit
अंकिता,ankita
अकिल,akil
अंकीत,ankit
अंकीता,ankita
अकील,akil
अंकुर,Ankur
अंकुर,Ankur
अंकुर,Ankur
अंकुश,ankush
अंकुश,Ankush
अंकुश,Ankush
अंकुश,Ankush
अंकुश,ankush
अक्किनेनी,Akkineni
अक्रम,akram
अक्रम,akram
अक्ष,aksh
अक्षत,akshat
अक्षता,akshata
अक्षय,akshay
अक्षय,akshay
अक्षय,Akshay
अक्षय,Akshay
अक्षर,akshar
अख.खुशाल,Khushal
अख.खुशाल,Khushal
अख.भरत,Bharat
अख.भरत,Bharat
अख.मनोज,Manoj
अख.मनोज,Manoj
अख.राजेश,Rajesh
अख.राजेश,Rajesh
अख.संजय,Sanjay
अख.संजय,Sanjay
अख.हितेश,Hitesh
अख.हितेश,Hitesh
अखतर,akhtar
अखत्यारि,attorney
अखत्यारी,Authority
अखत्यारी,authorized
अखत्यारीश्री,"attorney, shree"
अखाई,akhai
अखिल,akhil
अखिलेश,akhiesh
अख्तर,Akhtar
अख्तर,Akhtar
अख्त्यारी,Authority
अगते,Agate
अगरकर,Agarkar
अगरवाल,Agarwal
अगरवाल,Agarwal
अगरवाल,Agarwal
अगरवाल,Agarwal
अगरवालतर्फे,by agarwal
अगवान,Agvan
अगवान,agwaan
अग्निहेात्री,Agnihotri
अग्निहोत्री,Agnihotri
अग्निहोत्री,Agnihotri
अग्नीहोत्री,agnihotri
अग्रवाल,Agarwal
अग्रवाल,Agarwal
अग्रवाल,Agrawal
अग्रवाल,Agrawal
अग्रवाल,Agrawal
अग्रवालतर्फे,by agrawal
अँचन,Anchan
अँचन,Anchan
अंचन,anchan
अच्युत,unmistakable
अजगर,ajgar
अजगांवकर,Ajgaonkar
अजंता,ajanta
अंजना,anjana
अंजनाबाई,anjana bai
अंजनी,anjani
अजमल,ajmal
अजमेरा,Ajmera
अजय,ajay
अजय,Ajay
अजय,Ajay
अजय,Ajay
अजयकुमार,ajaykumar
अंजली,Anjali
अंजली,Anjali
अंजली,anjali
अजवानी,ajvaani
अजाइल,ajail
अजिंक्य,ajirkiya
अजिज,ajeej
अजित,Ajeet
अजित,ajit
अजित,Ajit
अजित,Ajit
अजितकुमार,ajitkumar
अजितनाथ,Ajitnath
अजितनाथ,Ajitnath
अजितनाथ,ajitnath
अजितनामदेवमासाळ,Ajit namdev masal
अजितसिंग,ajit singh
अजिम,ajim
अजीज,ajeej
अजीज,Ajij
अजीज,Ajij
अज़ीज़,ajij
अजीत,ajeet
अजीम,ajim
अंजु,anju
अंजुम,anjum
अजुरे,ajure
अंजू,anju
अज्ञान,Agyan
अझिझ,ajij
अझीझ,aziz
अझीम,ajheem
अटर्नी,Attorney
अटवाल,Atwal
अटॉर्नी,attorney
अट्टाल,Attal
अँड,and
अँड,and
अँड,and
अँड,And
अंड,and
अंड,and
अंड,and
अडवाणी,advani
अडवानी,advani
अढिया,adiya
अण्ड,and
अँण्ड,and
अँण्ड,and
अँण्ड,and
अण्णा,anna
अण्णासाहेब,anna saheb
अतकुर,atkur
अंतरिक्ष,space
अंतरीक्ष,antriskh
अतहर,athar
अतिक,atik
अतिश,atish
अंतु,antu
अतुल,Atul
अतुल,Atul
अतुल,Atul
अतुल,Atul
अतुलकुमार,atulkumar
अंतुले,antule
अतूल,atul
अंतोन,Antone
अंतोनी,anthony
अत्तरवाला,attarvala
अत्तार,attar
अत्री,Atri
अत्रे,Atre
अत्रे,atre
अथर्व,Atharv
अथर्व,atharva
अथर्व,Atharva
अथो,atho
अँथो,anthony
अँथोनी,anthony
अंथोनी,anthony
अथोराईज,Authorize
अथोराईज,Authorized
अथोराईज,Authorized
अथोराईज्ड,Authorized
अथोराईज्ड,Authorized
अथोराईज्ड,authorized
अदनान,adnan
अदनानी,adnani
अदर्स,others
