og_representation,mapping
दोन,2
महानगर पालिका,Municipal Corporation
–,-
इतर सुख सुविधेचा करारनामा,","
समोर,(Front Of)
पुर्वेस,(In the east)
उत्तरेस,(In the north)
दक्षिणेस,(In the south)
पश्चिमेस,(In the west)
तेरावा,13th
पंधरावा,15th
1अ,1A
१ला,1st
पहीला,1st
मध्य रेल्वे,1st Floor
हाऊ सोसा,1st floor
21वा,21st
२ रा,2nd
2 रा,2nd
2रा मजला,2nd Floor
3 रा,3rd
3 रा,3rd
तिसऱ्या,3rd
तीसरा,3rd
3रा मजला,3rd Floor
तिसऱ्या मजल्यावरील,3rd Floor
चौथा,4th
चौथा,4th
चौ॑था,4th
चौैथा,4th
4था मजला,4th Floor
चौथा टेरेस,4th Floor
पाचवा,5th
गोरेगाव प,5th floor
हौ सेा,5th Floor
सहावा,6th
6वा मजला,6th Floor
सहावा मजला,6th Floor
सहावा सो,6th Floor
सोसायटी लिमिटेड,6th floor
सातवा,7th
7वा मजला,7th Floor
क्रॉस लेन,7th floor
8ब,8B
8वा,8th
आठवा मजला,8th Floor
अ,A
अे,A
ए,A
ए,A
ए,A
ए,A
ए,A
ए,A
एच एस,H S
एविंग,A-Wing
अभियान,Abhiyan
एडीजे,Adjacent
आगाऊ भाडे,Advance Rent
अगरवाल,Agarwal
ऐरोली,Airoli
आकाश,Akash
आकुर्ली,Akurli
आकुर्ली,Akurli
आकुर्ली,Akurli
किरोळ कुर्ला,Akurli Road
अलिबाग,Alibaug
अलिबाग,Alibaug
ताअलिबाग,Alibaug
सर्व,All
सर्व,All
सर्व,All
सर्व सदर,all income
अंबरनाथ,Ambarnath
अंबरनाथ,Ambarnath
ताअंबरनाथ,Ambarnath
न्यू लिंक,Ambarnath Dist.
फ्ल्ॅट नं,Ambedkar Marg
रक्कम,Amount
रक्कम,Amount
रक्कम,Amount
रक्कम,Amount
रक्कम,Amount
रक्कम,Amount
रक्कम नमूद,amount of rupees
अमृत शक्ती,Amrut Shakti
घाटकोपर किरोळ,Anand Nagar
व,and
व,and
व,and
व,and
व,and
व,and
अंधेरी,Andheri
अंधेरी,Andheri
अंधेरी,Andheri
अंध्ंेरी,Andheri
भुभाग,Andheri
अंधेरी क्रं,Andheri East
अंधेरी पू,Andheri East
अंधेरी पूर्व,Andheri East
महानगरपालिका उपविभागाचे,Andheri East
अंधेरी पश्चिम,Andheri South
मालाड पनवेल,Andheri South
अंधेरी पश्चिम,Andheri West
अनिरुध्दाय,Aniruddhaya
अॅनेक्स,Annex
अंटोप,Antop
अपार्ट,Apartment
अपार्टमेंट,Apartment
अपार्टमेंट,Apartment
अपार्टमेंट,Apartment
अपार्टमेंट,Apartment
अपार्टमेंट,Apartment
अपार्टमेन्ट,Apartment
रायगड,Apartment
सदनिका,Apartment
सदनिका,Apartment
सदनिका,Apartment
सदनिका,Apartment
सदनिका क्रं,Apartment No
सदनिका क्रं,Apartment No
अॅक्वा,Aqua
आर्केड,Arcade
आर्केड,Arcade
आर्केड,Arcade
एरिया,Area
एरीया,Area
क्षे,Area
क्षेत्र,Area
क्षेत्र,Area
क्षेत्र,Area
क्षेत्र,Area
क्षेत्र,Area
क्षेत्र,Area
क्षेत्रफळ,Area
क्षेत्रफळ,Area
नमूद केल्या,As mentioned
नमूद नंबर,As mentioned
पुनर्रपरवानगी नुसार,As per reassignment
आसनगाव,Asangaon
आसनगांव,Asangaon
अशोक,Ashok
अॅव्हेन्यू,Avenue
बी,B
बी,B
बी,B
बी,B
बी,B
बी,B
कामोठे ता,B-Wing
बीविंग,B-Wing
बहादूर,Bahadur
हिरानंदानी इस्टेट,Bahadur Shastri
बालाजी,Balaji
बाल्कनी,Balcony
बांद्रा,Bandra
विरार उपविभाग,Bandra East
बेसमेंट,Basement
बाग,Baug
