og_representation,mapping
आडखडक,Aadakhadak
आडे,Aade
आढी,Aadhi
आडी,Aadi
आडोली,Aadoli
आडूर,Aadur
आघई,Aaghai
आगोती नं. 2,Aagoti No.2
आगवे,aagve
आखतुली,Aakhtuli
आखतुली2)आखतुली3)आखतुली4)आखतुली,Aakhtuli
आंदेशे,Aandeshe
आंदेशे2)आंदेशे3)आंदेशे4)आंदेशे5)आंदेशे6)आंदेशे,Aandeshe
असाणे,Aane
आपटी,Aapti
आपटी2)आपटी,Aapti
आपटी2)आपटी3)आपटी,Aapti
आपटी2)आपटी3)आपटी4)आपटी,Aapti
आपटी2)आपटी3)आपटी4)आपटी5)आपटी,Aapti
आरे,Aare
आरे,Aarey
आसनी दामगुडा,Aasni Damguda
आसनी दामगुडा2)आसनी दामगुडा,Aasni Damguda
आसनी मंडजाई,Aasni Mandjai
आवदर,Aavdar
आवदर2)आवदर,Aavdar
आवदर2)आवदर3)आवदर,Aavdar
आबजे,Abaje
आबलोली,abaloli
आबवली,abavali
अब्दुललाट,Abdulat
आबेदरा,Abedara
आंबेदरा,Abedara
अभाण,Abhan
आबिटगाव,abitagao
अबिटघर,Abitghar
अबीटघर,Abitghar
आबिटघर,Abitghar
्अबिवली,Abivali
आब्जे,abje
अच्छाड,Achchad
आचळोली,Achloli
आचोळे,Achole
आडाची वाडी,Adachi Wadi
अडाचीवाडी,Adachiwadi
आदाड,Adad
आदगांव,Adagaon
आडघर,Adaghar
आदई,Adai
आदमापुर,Adamapur
अडनाळे,Adanale
आडनाळे,Adanale
आडणे,Adane
आडराई,adarai
अडरे,adare
आडावले बुद्रुक,Adavale Budruk
आडावळे बु,adavale Budruk
आडावळे बुाा,Adavale Budruk
आडावले खुर्द,Adavale Khurd
आडावळे खुर्द,Adavale Khurd
अडवली,Adavali
आडवली,Adavali
अडवली-भुतवली,Adavali Bhutavali
अडवली-भुतावली,Adavali Bhutavali
आडावी,Adavi
आडावी2)कडधे,"Adavi , Kadadhe"
आडावी2)थुगांव,"Adavi , Thugaon"
वाढिव,additional
आदे,Ade
आडगांव,Adgaon
आडगांव2)आडगांव,Adgaon
आडगांव2)आडगांव3)आडगांव,Adgaon
आदगांव,Adgaon
आंदगांव,Adgaon
आंदगांव2)आंदगांव3)आंदगांव4)आंदगांव5)आंदगांव6)आंदगांव7)आंदगांव8)आंदगांव9)आंदगांव,Adgaon
आढले बुद्रुक2)आढले बुद्रुक,Adhale Budruk
आढले खुर्द,Adhale Khurd
आढले बुद्रुक,Adhale Khurd
आढांगी,Adhangi
आधरणे,Adharane
आधारणे,Adharne
आढे,Adhe
आढे2)आढे,Adhe
आडी,Adi
आडी म. खाडी,Adi Mahad Khadi
आडी महाड खाडी,Adi Mahad Khadi
आडी ठाकुर,Adi Thakur
अकिवाट,Adida
आडीपांगाळे,Adipangale
आदिस्ते,Adiste
आडीठाकूर,Adithakur
आडिवली,Adivali
आडीवली,Adivali
आदिवली,adivali
आदीवली,Adivali
अडिवळी ढोकळी,Adivali Dhokali
अडीवली ढोकळी,Adivali Dhokali
अडिवरे,Adivare
अडखळ,adkhal
अडकूर,Adkur
आडमाळ,Admal
अडोशी,Adoshi
आडोशी,Adoshi
आदोशी,adosi
अडुळसे,Adulase
अडुर,adur
अडूरे,Adure
आडवली,Adwali
आडवली2)आडवली,Adwali
&nbsp &nbsp आगळंबे,Agalambe
आगळंबे,Agalambe
आगर,Agar
आगर2)आगर,Agar
आगर2)आगर3)आगर4)आगर,Agar
आगर2)आगर3)आगर4)आगर5)आगर6)आगर7)आगर8)आगर9)आगर,Agar
आगर,Agar
आगर सूरे,Agar Sure
आगरदांडा,Agaradanda
आगरसुरे,agarasure
आगरवाडा,Agaravada
आगरवायंगणी,agaravayangani
आगरवाडी,Agarawadi
आगरकोट,Agarkot
आगासन,Agasan
आगाशी,Agashi
आगवण,Agavan
आगवन,Agavan
अघई,Aghai
आघाई (भोगेश्वर),Aghai Bhogeshvar
आघाणे,Aghane
आघारी,aghari
आगळंबे 2) मांडवी खुर्द 3) सांगरूण,"Aglambe , Mandvi Khurd , Sangrun"
आग्रेंकोड,Agrekond
अहिनेवाडी,Ahinewadi
अहिनेवाडी2)अहिनेवाडी,Ahinewadi
अहिनेवाडी2)अहिनेवाडी3)ओतूर,"Ahinewadi , Otur"
अहिनेवाडी2)ओतूर3)अहिनेवाडी,"Ahinewadi , Otur"
अहिनवेवाडी,Ahinvewadi
&nbsp &nbsp अहिरे,Ahire
अहिरे,Ahire
अहिरे2)अहिरे,Ahire
अहिरवडे,Ahirwade
अहिरवडे2)अहिरवडे3)अहिरवडे,Ahirwade
अहिरे2)अहिरे3)अहिरे4)अहिरे5)अहिरे6)अहिरे,Ahirwade
आहुपे,Ahupe
ऐंबुर ऐरंबी,aimbura airambi
ऐनशेत,Ainashet
ऐनवहाळ,Ainavahal
ऐने,Aine
ऐनघर,Ainghar
अंतिवडे,Aintiwade
एैरोली,Airoli
ऐरोली,Airoli
आजदे गोलवली,Ajade Golavali
अजंरुण,Ajamruna
अजनुप,Ajanup
आजरा,Ajara
अजिवली,ajivali
आजिवली,Ajivali
आजीवली,Ajivali
एजिवडे,Ajiwadi
आजोशी,Ajoshi
अजोती,Ajoti
आकले,Akale
अकलोली,Akaloli
आकरे,Akare
आकटन,Akatan
आकेगहाण (सूर्या प्रकल्प),Akegahana Surya Prakalp
आकेगव्हाण,akegavhan
आखाडा,Akhada
आखर,Akhar
आखरवाडी,Akharwadi
आखरवाडी2)बुट्टेवाडी3)बुट्टेवाडी4)बुट्टेवाडी5)बुट्टेवाडी,"Akharwadi , Buttewadi"
आखुसखाँनगर,akhusakhamnagara
अक्करपट्टी,Akkarapatti
आकनूर,Aknur
अकोले,Akole
अकोले2)अकोले,Akole
अकोले2)अकोले3)अकोले,Akole
अकोले2)अकोले3)अकोले4)अकोले,Akole
अकोले2)अकोले3)अकोले4)अकोले5)अकोले,Akole
अकोले2)काझड,"Akole , Kazad"
अकोले2)शेरे,"Akole , Shere"
अकोले2)निरगुडे,"Akole ,Nirgude"
आकोली,Akoli
आक्से,Akse
आक्षी,Akshi
आक्टण,Aktan
आकुळवाडी,Akulawadi
आकुर्डे,Akurde
आकुर्डी,Akurdi
&nbsp &nbsp आकुर्डी,Akurdi
Village Name Akurdi,Akurdi
आकुर्डी2)आकुर्डी,Akurdi
आकुर्डी2)आकुर्डी3)आकुर्डी,Akurdi
आकुर्डी2)आकुर्डी3)आकुर्डी4)आकुर्डी,Akurdi
आकुर्डी2)आकुर्डी3)चिखली,"Akurdi , Chikhali"
आकुर्डी2)निगडी,"Akurdi ,Nigdi"
आकुर्डी 2) पिंपरी वाघेरे,Akurdi Pimpriwaghere
आकुर्ळे,Akurle
आकुर्ले,Akurle
आकुर्ली,Akurli
आलाबाद,Alabad
अलबादेवी,Alabadevi
आलखीली,Alakhili
आलखिवली,alakhivali
आलमान,Alaman
आलमें,Alame
आळदे,Alande
आळदे2)आळदे,Alande
आळदे2)आळदे3)आळदे4)आळदे5)आळदे6)कासुर्डी गुं.मा.,"Alande , Kasurdi"
आळंदी देवाची (ग्रामिण),Alandi Devachi ( Rural )
आळंदी देवाची (ग्रामिण)2)आळंदी देवाची (ग्रामिण),Alandi Devachi ( Rural )
आळंदी देवाची (ग्रामिण)2)आळंदी देवाची (ग्रामिण)3)आळंदी देवाची (ग्रामिण),Alandi Devachi ( Rural )
आळंदी देवाची (ग्रामिण)2)आळंदी देवाची (ग्रामिण)3)आळंदी देवाची (ग्रामिण)4)आळंदी देवाची (ग्रामिण),Alandi Devachi ( Rural )
आळंदी देवाची (ग्रामिण)2)आळंदी देवाची (ग्रामिण)3)आळंदी देवाची (ग्रामिण)4)आळंदी देवाची (ग्रामिण)5)आळंदी देवाची (ग्रामिण)6)आळंदी देवाची (ग्रामिण)7)आळंदी देवाची (ग्रामिण)8)आळंदी देवाची (ग्रामिण)9)आळंदी देवाची (ग्रामिण)10)आळंदी देवाची (ग्रामिण)1आळंदी देवाची (ग्रामिण),Alandi Devachi ( Rural )
आळंदी देवाची (ग्रामिण)2)आळंदी देवाची (नागरी क्षेत्र),Alandi Devachi ( Rural )
आळंदी देवाची (ग्रामिण)2)चऱ्होली खुर्द,"Alandi Devachi ( Rural ) , Charholi Khurd"
आळंदी देवाची (नागरी क्षेत्र),Alandi Devachi ( Urban Area )
आळंदी देवाची (नागरी क्षेत्र)2)आळंदी देवाची (नागरी क्षेत्र),Alandi Devachi ( Urban Area )
आळंदी देवाची (नागरी क्षेत्र)2)आळंदी देवाची (नागरी क्षेत्र)3)आळंदी देवाची (नागरी क्षेत्र),Alandi Devachi ( Urban Area )
आळंदी देवाची (नागरी क्षेत्र)2)आळंदी देवाची (नागरी क्षेत्र)3)आळंदी देवाची (नागरी क्षेत्र)4)आळंदी देवाची (नागरी क्षेत्र)5)आळंदी देवाची (नागरी क्षेत्र)6)आळंदी देवाची (नागरी क्षेत्र),"Alandi Devachi ( Urban Area ) ,"
आळंदी देवाची (नागरी क्षेत्र)2)धानोरे,"Alandi Devachi ( Urban Area ) , Dhanore"
आळंदी म्हातोबाची,Alandi Mhatobachi
&nbsp &nbsp आळंदी म्हातोबाची,Alandi Mhatobachi
आळंदी म्हातोबाची2)आळंदी म्हातोबाची,Alandi Mhatobachi
आळंदी म्हातोबाची2)आळंदी म्हातोबाची3)आळंदी म्हातोबाची4)आळंदी म्हातोबाची5)आळंदी म्हातोबाची6)आळंदी म्हातोबाची,Alandi Mhatobachi
आळंदी म्हातोबाची2)मांजरी बुद्रुक,"Alandi Mhatobachi , Manjri Budruk"
आलास,Alas
अळसुंदे,Alasunde
अलसुरे,alasure
आळते,Alate
आवळी बुद्रुक,Alavali Budruk
आळवे,Alave
आळवे,Alave
अलयाणी,Alayani
आलदरे,Aldare
आलदरे2)आलदरे,Aldare
आलदरे2)आलदरे3)आलदरे4)आलदरे,Aldare
आलदरे2)आलदरे3)आलदरे4)आलदरे5)आलदरे,Aldare
आलदरे2)आलदरे3)आलदरे4)आलदरे5)आलदरे6)आलदरे7)आलदरे8)आलदरे,Aldare
अळे,Ale
आळे,Ale
आळे2)आळे,Ale
आळे2)नारायणगांव3)आळे,"Ale , Narayangaon"
आळे2)नारायणगांव3)आळे4)आळे,"Ale , Narayangaon"
आलेगाव,Alegaon
आलेगांव पागा2)आंधळगांव,"Alegaon , Andhalgaon"
आलेगांव पागा,Alegaon Paga
आलेगांव पागा2)आलेगांव पागा,Alegaon Paga
आलेगांव पागा2)आलेगांव पागा3)आलेगांव पागा,Alegaon Paga
आलेगांव पागा2)आलेगांव पागा3)आलेगांव पागा4)आलेगांव पागा,Alegaon Paga
आलेगांव पागा2)आलेगांवपागा,Alegaon Paga
आलेगांव पागा2)उरळगांव,Alegaon Paga
आलेगांवपागा,Alegaon Paga
आलेगांवपागा2)आलेगांवपागा,Alegaon Paga
आलेगांवपागा2)कदमवस्ती,"Alegaon Paga , Kadamvasti"
आलेगांव पागा2)न्हावरा,"Alegaon Paga , Nhavare"
आलेगांव पागा2)राक्षेवाडी,"Alegaon Paga , Rakshe Wadi"
आलेगांव पागा2)रांजणगांव सांडस,"Alegaon Paga , Ranjangaon Sandas"
आलेमेट,Alemat
आळेफाटा,Alephata
आलेवाडी,Alewadi
अलिबाग,Alibag
आलिमघर,alimaghar
आलीमघर,Alimghar
आलमे,Alme
आलमे2)आलमे,Alme
आलमे2)आलमे3)आलमे,Alme
आलोंडा,Alonda
अलोरे,Alor
आलतुर,Altur
आळु,Alu
आलु,Alur
आल्याचीवाडी,Alyachiwadi
अल्याळी,alyali
अ्ल्याळी (प्रभाव क्षेत्र),Alyali (Prabhav Kshetra)
अल्याणी,Alyani
अल्यानी,Alyani
आमडोशी,Amadoshi
आमदोशी,Amadoshi
आमगाव,Amagaon
आमगांव,Amagaon
आमले,amale
आमली,Amali
आमणे,Amane
आमणोरी,Amanori
आमशेत कर्जी,amaseta Karzi
आमशेत,Amashet
आमटेम,Amatem
आंबा,Amba
्आ्ंबाडे,Ambada
्आ्ंबाडे2)्आ्ंबाडे,Ambada
्आ्ंबाडे2)्आ्ंबाडे3)्आ्ंबाडे,Ambada
्आ्ंबाडे2)्आ्ंबाडे3)्आ्ंबाडे4)्आ्ंबाडे5)्आ्ंबाडे6)्आ्ंबाडे,Ambada
आंबडस,ambadas
अंबाडे,Ambade
अंबाडे2)अंबाडे,Ambade
आंबाडे,Ambade
अंबाडी,Ambadi
अंबाडी (सूर्या प्रकल्प),Ambadi Surya Prakalp
आंबजे,Ambaje
आंबळे (खुर्द),Ambale
आंबळे (बुद्रुक),Ambale
भालेकर कांेड,Ambale
अंबप,Ambap
अंबपवाडी,Ambapwadi
अंंंंंंंंंबरभुई,Ambarabhui
अंबराभुई,Ambarabhui
अंबरभुई,ambarbhui
आंबार्डे,Ambarde
अंबर्जे,ambarje
आंबार्जे,Ambarje
अंबर्ले,Ambarle
आंबर्ले,ambarle
अंबरनाथ,Ambarnath
आंबतखोल,ambatakhol
आंबातपाडा,ambatapada
अंबाठीवाडी,Ambathiwadi
आंबवडे,Ambavade
आंबवडे2)आंबवडे,Ambavade
आंबवडे2)आंबवडे3)आंबवडे,Ambavade
आंबवडे2)आंबवडे3)आंबवडे4)आंबवडे5)आंबवडे6)आंबवडे7)आंबवडे8)आंबवडे9)आंबवडे,Ambavade
आंबवडे2)आंबवडे3)आंबवडे4)आंबवडे5)आंबवडे6)आंबवडे7)आंबवडे8)आंबवडे9)आंबवडे10)आंबवडे,Ambavade
आंबवडे,ambavade
